ID,k_fold
11994136,2
10382074,4
11995079,1
12021264,1
11965525,4
12078404,1
12078451,2
12020466,1
12022069,2
11284895,1
11529721,2
12015033,3
10185400,4
11777150,3
10954064,4
12073137,2
10144166,2
10701521,4
12087374,4
10602196,1
10032743,1
12068311,3
10147188,3
12070158,1
11973655,4
12062673,3
12064934,2
11994765,1
12078193,1
10386361,4
12081317,3
10090344,1
12017096,3
12072022,1
12060139,2
11000046,2
12078357,1
11166204,1
11403035,3
10371282,3
10060298,1
12062282,4
11964486,2
12058223,2
10547070,2
12080930,2
12068730,2
11965410,2
12024843,3
12068064,3
12015330,1
12058606,1
11118147,2
10033946,2
12060583,3
12057249,1
12084143,3
10765058,1
10175956,1
10308614,2
11966965,4
12017572,3
12006942,1
12021882,3
12014707,1
11187940,2
10746739,3
11963813,3
11047565,2
12078261,4
12066130,3
11260371,1
12060512,4
12058652,2
12079506,3
11968721,1
11980341,3
12013563,4
10865852,2
11979829,2
10054193,1
12067624,2
