ID,k_fold
12015330,7
12016082,7
12071899,7
12076929,7
12084143,7
10060298,7
12060583,7
11995542,7
12078357,7
12014304,7
11963932,7
12072684,7
10958003,7
12066193,7
11986652,7
11934639,7
11063321,7
12021882,7
12069007,7
12074010,7
12082610,7
11353879,7
12067624,7
10133032,7
11468800,7
11953421,7
10518339,7
11885085,7
12060947,7
11994174,7
12017078,7
10151662,7
11570934,7
12076588,7
12022166,7
12070494,7
11995217,7
11118147,7
12077752,7
10464540,7
11964486,7
10382074,7
10253638,7
10147188,7
12066130,7
11168900,7
12070576,7
10376476,7
12075513,7
10312291,7
12010440,7
11149298,7
12070584,7
11963293,7
10276407,7
12080191,7
11361967,7
12057113,7
12079470,7
10818087,7
12078102,7
12073084,7
12075249,7
12060821,7
11680213,7
11968195,7
12064360,7
12061282,7
12058680,7
12078451,7
12078193,7
12081654,7
12062464,7
11983894,7
12018106,7
12081708,7
12060891,7
12069952,7
12063520,7
10727790,7
12062630,7
12079998,7
12022133,7
12084452,7
12076009,7
10632505,7
10011174,7
11243437,7
11260371,7
11187940,7
11920334,7
11750648,7
12053887,7
12080599,7
12063213,7
11718902,7
10521942,7
11900659,7
11981723,7
12076031,7
11964634,7
11632802,7
12014945,7
12078087,7
12016424,7
12020076,7
11128869,7
10572622,7
12067579,7
12024843,7
12067953,7
12061858,7
11164132,7
10371282,7
12071922,7
11403035,7
12081714,7
11158426,7
12077889,7
10435211,7
10129913,7
10198741,7
11980591,7
12021263,7
12017137,7
12079831,7
12017092,7
10033946,7
10462607,7
12060851,7
12070561,7
12024707,7
11538788,7
11662904,7
11980350,7
10796841,7
10713007,7
12058252,7
12073946,7
10579722,7
12079217,7
12072420,7
11994923,7
11963934,7
12060447,7
10248191,7
12057840,7
11548829,7
10649241,7
11994896,7
12073723,7
12013317,7
11968098,7
12022508,7
12063790,7
12071432,7
11443620,7
11965525,7
10474374,7
10480874,7
10996654,7
11009710,7
11284483,7
12019477,7
12068957,7
12086730,7
12015493,7
12070861,7
10722323,7
12016104,7
12071902,7
12077821,7
12082301,7
12069015,7
12076476,7
12065293,7
12069213,7
11985508,7
11835725,7
12071988,7
11253821,7
10039455,7
11980341,7
12054110,7
12013836,7
12073785,7
11479794,7
12074900,7
10710989,7
12002754,7
12076907,7
10746739,7
12077645,7
12077766,7
11994765,7
10253809,7
10398548,7
12024095,7
12082951,7
12080008,7
11835251,7
11592474,7
11092973,7
11980737,7
11268301,7
11985671,7
12020033,7
12061830,7
12085119,7
10788216,7
11123373,7
12064091,7
10543183,7
12058747,7
12061187,7
12063887,7
12018473,7
10346727,7
12016965,7
12067914,7
11530236,7
10116102,7
10312176,7
11621690,7
12060372,7
12051205,7
12080930,7
10873282,7
12016636,7
11737078,7
12078404,7
10373301,7
12018857,7
10905198,7
12076235,7
12075438,7
10317210,7
12070899,7
12081317,7
11994931,7
12020125,7
12058678,7
12059147,7
12012079,7
12058341,7
12057249,7
11981791,7
12061791,7
12070699,7
